|    0 |    1 |    2 |    3 |    4 |    5 |
|  324 |  135 |  325 |  131 |  321 |  132 |
|  329 |  138 |  329 |  133 |  325 |  134 |
|  326 |  136 |  326 |  133 |  324 |  134 |
|  328 |  137 |  328 |  133 |  324 |  134 |
|  329 |  137 |  327 |  133 |  324 |  134 |
|  332 |  139 |  332 |  134 |  329 |  136 |
|  335 |  139 |  331 |  134 |  327 |  135 |
|  334 |  140 |  333 |  135 |  330 |  136 |
|  334 |  139 |  333 |  135 |  330 |  136 |
|  332 |  139 |  332 |  135 |  329 |  136 |
|  329 |  137 |  328 |  133 |  325 |  134 |
|  332 |  139 |  330 |  134 |  327 |  135 |
|  329 |  138 |  328 |  133 |  324 |  134 |
|  329 |  137 |  328 |  133 |  325 |  134 |
|  330 |  138 |  328 |  133 |  325 |  134 |
|  329 |  138 |  328 |  133 |  325 |  134 |
|  332 |  138 |  330 |  134 |  327 |  135 |
|  338 |  141 |  337 |  137 |  334 |  137 |
|  339 |  141 |  338 |  137 |  334 |  137 |
|  337 |  140 |  334 |  136 |  331 |  137 |
|  335 |  140 |  334 |  135 |  329 |  136 |
|  328 |  137 |  328 |  133 |  326 |  134 |
|  332 |  138 |  331 |  134 |  329 |  136 |
|  332 |  139 |  332 |  135 |  328 |  136 |
|  334 |  140 |  334 |  135 |  330 |  136 |
|  330 |  139 |  331 |  134 |  327 |  136 |
|  328 |  137 |  327 |  133 |  326 |  135 |
|  330 |  138 |  330 |  134 |  327 |  135 |
|  332 |  139 |  331 |  134 |  328 |  136 |
|  331 |  139 |  331 |  134 |  328 |  136 |
|  335 |  140 |  333 |  135 |  330 |  136 |
|  331 |  138 |  330 |  134 |  326 |  135 |
|  330 |  138 |  330 |  134 |  326 |  135 |
|  326 |  137 |  325 |  132 |  323 |  134 |
|  328 |  137 |  328 |  133 |  325 |  135 |
|  327 |  137 |  326 |  133 |  322 |  134 |
|  331 |  138 |  331 |  135 |  328 |  136 |
|  330 |  138 |  330 |  134 |  326 |  135 |
|  330 |  138 |  329 |  134 |  326 |  135 |
|  331 |  139 |  331 |  134 |  327 |  136 |
|  327 |  137 |  327 |  133 |  324 |  134 |
|  328 |  137 |  327 |  133 |  325 |  134 |
|  325 |  136 |  324 |  132 |  321 |  134 |
|  325 |  136 |  324 |  132 |  321 |  133 |
|  328 |  137 |  324 |  132 |  320 |  134 |
|  325 |  137 |  325 |  132 |  322 |  134 |
|  325 |  136 |  324 |  132 |  321 |  134 |
|  328 |  137 |  327 |  133 |  326 |  135 |
|  329 |  138 |  329 |  134 |  326 |  135 |
|  326 |  137 |  326 |  132 |  322 |  134 |
